order,id,bodyText,highlightTargetName,advanceType,eventType,targetAmount,targetId
38,base_refinery_intro,좋습니다. 이제 정제소에 대해 자세히 들어다 보겠습니다. 정제소를 누르세요.,Credit Refinery,TargetClicked,None,0,
39,base_refinery_intro,정제소는 크레딧의 원료인 광물을 채집하고 정화하는 시설입니다. 최대용량 갯수와 시간 당 수집량을 확인할 수 있습니다.,Panel,Tap,None,0,
40,base_refinery_intro,"업그레이드를 할 수록 더 빠르고, 더 많은 크레딧을 저장할 수 있습니다.",UpgradeDetail,Tap,None,0,
41,base_refinery_intro,물론 여기에도 수집가능합니다. 가득차기 전에 수집버튼을 눌러주세요.,Refinery Storage_Bar_CollectButton,TargetClicked,None,0,
42,base_refinery_intro,이제 스텟 강화소를 둘러볼 차례입니다. 돌아가기 버튼을 눌러주세요.,ExitButton,TargetClicked,None,0,
43,base_TraitPoint_intro,스텟 강화소를 누르세요.,TraitPointFacility,TargetClicked,None,0,
44,base_TraitPoint_intro,스텟강화에 사용할 포인트입니다. 플레이어 레벨 업 마다 하나 씩 얻습니다.,point,Tap,None,0,
45,base_TraitPoint_intro,화력 강화 버튼을 눌러주세요.,Att_btn,TargetClicked,None,0,
46,base_TraitPoint_intro,보유한 포인트로 4가지 중 하나를 선택해 능력치를 영구적으로 소폭 상승할 수 있습니다.,Stat Upgrade,Tap,None,0,
47,base_TraitPoint_intro,"플레이어가 탑승한 탱크의 능력치를 표시하는 구간입니다. ",Tank Status,Tap,None,0,
48,base_TraitPoint_intro,스탯 포인트로 강화 시 얼만큼 상승했는지 실시간으로 확인가능합니다.,Tank Status,Tap,None,0,
49,base_TraitPoint_intro,돌아가기 버튼을 눌러주십시오.,ExitButton_TrPoint,TargetClicked,None,0,
50,base_Factory_intro,사령부 업그레이드로 시설하나가 해금되었습니다. 조립공장을 누르세요.,Assembly Factory,TargetClicked,None,0,
51,base_Factory_intro,"이 조립공장은 무기/드론의 피해량을 올리는 데 사용합니다. ",Panel,Tap,None,0,
52,base_Factory_intro,강화할 무기를 선택하세요.,Weapon Menu Button,TargetClicked,None,0,
53,base_Factory_intro,무기 '포탄'을 선택하세요.,LoadoutOptionButton(Clone),TargetClicked,None,0,
54,base_Factory_intro,장착하기 버튼을 눌러야 선택완료됩니다.,Equip_Button,TargetClicked,None,0,
55,base_Factory_intro,"선택완료되었다면, 하단에 강화버튼이 활성화 될겁니다. 강화버튼을 누르세요.",Weapon Enhance Button,TargetClicked,None,0,
56,base_Factory_intro,"강화 완료되었습니다. 이제 무기/드론을 강화할 때마다 피해량이 상승하며, 그만큼 크레딧 비용도 상승합니다.",Weapon Enhance Detail,Tap,None,0,
57,base_Factory_intro,"최대강화 레벨을 표시하는 구간이며, 조립공장 업그레이드할 때마다 5레벨 씩 올라갑니다.",AssemblyLevel_txt,Tap,None,0,
58,base_Factory_intro,이제 기지를 통해서 스킬을 교체하는 방법을 알려드리겠습니다. 돌아가기 버튼을 누르십시오.,ExitButton_Factory,TargetClicked,None,0,
59,base_SkillHanger_intro,스킬 격납고를 누르세요.,Skill Hanger Facility,TargetClicked,None,0,
60,base_SkillHanger_intro,"여기서 플레이어가 소유한 스킬슬롯을 확인, 교체할 수 있습니다.",Panel,Tap,None,0,
61,base_SkillHanger_intro,스킬레벨입니다. 상점을 통해 중복으로 획득했다면 상승합니다.,Skill Level,Tap,None,0,
62,base_SkillHanger_intro,레벨이 오를 수록 스킬 피해량이 증가합니다. 일부 스킬은 쿨타임 감소 및 공격 횟수증가를 얻습니다.,Skill Level,Tap,None,0,
63,base_SkillHanger_intro,최대 레벨 이후 중복 획득마다 코이 크리스탈이 지급됩니다.,Skill Level,Tap,None,0,
64,base_SkillHanger_intro,장착한 스킬을 확인할 수 있는 슬롯입니다. 기지 업그레이드를 통해 최대 4가지 슬롯을 확장할 수 있습니다.,SkillButton_Group,Tap,None,0,
65,base_SkillHanger_intro,다음으로 관제탑를 안내하겠습니다. 돌아가기 버튼을 눌러주세요.,ExitButton_SH,TargetClicked,None,0,
66,base_BossTracker_intro,관제탑를 누르세요.,Boss Tracker,TargetClicked,None,0,
67,base_BossTracker_intro,여기서는 보스정보를 직접열람 및 난이도 추가조정을 할 수 있습니다.,Panel,Tap,None,0,
68,base_BossTracker_intro,"관제탑 레벨은 실제 사령부 레벨과 연동됩니다. 따라서 사령부 레벨이 오르면 고난이도 해금, 티켓 보유량 및 수급량이 증가합니다.",Title,Tap,None,0,
69,base_BossTracker_intro,"보스정보 표시창 입니다. 체력, 권장 전투력, 난이도, 사용무기, 처치보상으로 구분됩니다.",Boss Status_Group,Tap,None,0,
70,base_BossTracker_intro,보스 난이도는 양쪽의 버튼을 통해 선택하실 수 있습니다.,DifficultySelectButton_Group,Tap,None,0,
71,base_BossTracker_intro,일반 > 어려움 > 정예 순으로 나누며 난이도가 높아질수록 보스 능력치 및 보상이 점진적으로 상승합니다.,Boss Status_Group,Tap,None,0,
72,base_BossTracker_intro,티켓 보유 갯수를 표시하는 구간입니다.,BossTicket,Tap,None,0,
73,base_BossTracker_intro,"보스전 돌입 시 티켓이 반드시 필요하며, 특정 시간이 지나면 자동으로 충전됩니다.",BossTicket,Tap,None,0,
74,base_BossTracker_intro,만약 처음으로 보스처치에 성공했다면 보너스로 티켓지급 할 수 있습니다.,BossTicket,Tap,None,0,
75,base_BossTracker_intro,이제 돌아가기 버튼을 눌러주세요.,CloseButton,TargetClicked,None,0,
76,base_outtro,마지막으로 '코어 차저'를 간략하게 소개하겠습니다. 이곳을 통해 탱크를 강화하고 새 드론을 해금할 수 있습니다.,Core Charger,Tap,None,0,
77,base_outtro,아직 사령부 레벨이 3이상에 도달되지 않은 상태라 레벨업 시 다시 한 번 안내해드리겠습니다.,LockState_CC,Tap,None,0,
79,base_outtro,이것으로 기지에 대한 설명을 마치도록 하겠습니다. 그럼 행운이 있기를 바랍니다.,,Tap,None,0,
